Mittel	Jahreszeit	Range	Gering Anfällig	Sehr Anfällig
Tiovit Jet	Frühjahr	min	4	7
Tiovit Jet	Frühjahr	max	5	7
Thiopron	Frühjahr	min	5	7
Thiopron	Frühjahr	max	7	10
Cyflufenamid	Frühjahr	min	5	7
Cyflufenamid	Frühjahr	max	7	10
Karathane Star	Vorblüte	min	7	7
Karathane Star	Vorblüte	max	7	10
Pykos	Frühjahr	min	7	10
Pykos	Frühjahr	max	10	14
Domark 125 Plus	Frühjahr	min	7	10
Domark 125 Plus	Frühjahr	max	10	14
Sercadis SC	Nachblüte	min	7	10
Sercadis SC	Nachblüte	max	10	14
Fontelis	Nachblüte	min	7	10
Fontelis	Nachblüte	max	10	14
Flint	Nachblüte	min	7	10
Flint	Nachblüte	max	10	14
Nimrod 250 EW	Vorblüte	min	7	10
Nimrod 250 EW	Vorblüte	max	10	14
Nimrod 250 EW	Sommer	min	10	14
Nimrod 250 EW	Sommer	max	14	21
