Sorte,Mehltauanfälligkeit
Braeburn,Sehr Anfällig
Winesap,Sehr Anfällig
Pink Lady,Sehr Anfällig
Pinova,Sehr Anfällig
Morgenduft,Sehr Anfällig
Scilate - Envy,Sehr Anfällig
Gala,Sehr Anfällig
Cosmic Crisp,Sehr Anfällig
Golden Delicious,Sehr Anfällig
Tessa,Sehr Anfällig
Giga,Sehr Anfällig
RedPop,Sehr Anfällig
Red Delicious,Gering Anfällig
yello,Gering Anfällig
Fuji,Gering Anfällig
Granny Smith,Gering Anfällig
Jazz,Gering Anfällig
Kanzi,Gering Anfällig
Ambrosia,Gering Anfällig
Topaz,Gering Anfällig
Bonita,Gering Anfällig
Joya,Gering Anfällig
Crimson Snow,Gering Anfällig
SweeTango,Gering Anfällig
Kissabel,Gering Anfällig
